run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,language_stressor,schema_stressor,context_stressor,efficiency_stressor,answer_match,arg_exact,avoidable_retries,completion_tokens,evidence_hit_rate,exact_match,final_state_match,hallucinated_tool_rate,interface_reliability_score,latency_ms,malformed_call_rate,mrr,ndcg,prompt_tokens,recall_at_k,recovery_correct,steps_taken,success,token_budget_used,tool_exact
20260409T070244Z_monolith_tool_010_validator_ready_tool_010_validator_ready_clean,tool_010_validator_ready,tool_010_validator_ready_clean,tool_routing,monolith,mlx,False,,,,,,0.0,1,82,,,,1.0,0.0,2256,1.0,,,160,,0.0,1,0.0,,0.0
20260409T070300Z_hybrid_retr_001_budget_delta_retr_001_budget_delta_clean,retr_001_budget_delta,retr_001_budget_delta_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,48,1.0,,,0.0,,14180,0.0,1.0,1.0,74,1.0,,0,1.0,2,
20260409T070301Z_hybrid_retr_002_policy_conflict_retr_002_policy_conflict_clean,retr_002_policy_conflict,retr_002_policy_conflict_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,11,1.0,,,0.0,,332,0.0,1.0,1.0,52,1.0,,0,1.0,1,
20260409T070302Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_clean,retr_003_incident_multimodal,retr_003_incident_multimodal_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,9,1.0,,,0.0,,1487,0.0,1.0,1.0,351,1.0,,0,1.0,2,
20260409T070303Z_hybrid_retr_004_flag_lookup_retr_004_flag_lookup_clean,retr_004_flag_lookup,retr_004_flag_lookup_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,48,1.0,,,0.0,,990,0.0,1.0,1.0,64,1.0,,0,1.0,2,
20260409T070304Z_hybrid_retr_005_revenue_conflict_retr_005_revenue_conflict_clean,retr_005_revenue_conflict,retr_005_revenue_conflict_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,13,1.0,,,0.0,,434,0.0,1.0,1.0,87,1.0,,0,1.0,3,
20260409T070305Z_hybrid_retr_006_root_cause_retr_006_root_cause_clean,retr_006_root_cause,retr_006_root_cause_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,48,1.0,,,0.0,,1276,0.0,1.0,1.0,85,1.0,,0,1.0,3,
20260409T070305Z_hybrid_retr_007_hiring_freeze_retr_007_hiring_freeze_clean,retr_007_hiring_freeze,retr_007_hiring_freeze_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,17,1.0,,,0.0,,500,0.0,1.0,1.0,46,1.0,,0,1.0,1,
20260409T070308Z_hybrid_retr_008_billing_lock_retr_008_billing_lock_clean,retr_008_billing_lock,retr_008_billing_lock_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,42,1.0,,,0.0,,2070,0.0,1.0,1.0,353,1.0,,0,1.0,2,
20260409T070308Z_hybrid_retr_009_report_synthesis_retr_009_report_synthesis_clean,retr_009_report_synthesis,retr_009_report_synthesis_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,13,1.0,,,0.0,,469,0.0,1.0,1.0,78,1.0,,0,1.0,2,
20260409T070309Z_hybrid_retr_010_rollout_mode_retr_010_rollout_mode_clean,retr_010_rollout_mode,retr_010_rollout_mode_clean,retrieval,hybrid,mlx,False,,,,,1.0,,0,48,1.0,,,0.0,,1169,0.0,1.0,1.0,74,1.0,,0,1.0,2,
20260409T070326Z_modular_agent_001_budget_compare_agent_001_budget_compare_clean,agent_001_budget_compare,agent_001_budget_compare_clean,full_stack,modular,mlx,False,,,,,0.0,0.0,2,48,,,1.0,0.0,0.2,14786,1.0,,,58,,0.0,2,0.0,,0.0
20260409T070327Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_clean,agent_002_reschedule_sarah,agent_002_reschedule_sarah_clean,full_stack,modular,mlx,False,,,,,1.0,0.0,2,48,,,0.0,0.0,0.0,1117,1.0,,,65,,0.0,2,0.0,,0.0
20260409T070328Z_modular_agent_003_screenshot_patch_agent_003_screenshot_patch_clean,agent_003_screenshot_patch,agent_003_screenshot_patch_clean,full_stack,modular,mlx,False,,,,,0.0,0.0,2,28,,,0.0,0.0,0.0,753,1.0,,,61,,0.0,2,0.0,,0.0
20260409T070329Z_modular_agent_004_repo_lookup_patch_agent_004_repo_lookup_patch_clean,agent_004_repo_lookup_patch,agent_004_repo_lookup_patch_clean,full_stack,modular,mlx,False,,,,,0.0,0.0,3,31,,,0.0,0.0,0.0,851,1.0,,,67,,0.0,3,0.0,,0.0
20260409T070330Z_modular_agent_005_search_then_create_agent_005_search_then_create_clean,agent_005_search_then_create,agent_005_search_then_create_clean,full_stack,modular,mlx,False,,,,,1.0,0.0,2,48,,,0.0,0.0,0.0,1154,1.0,,,63,,0.0,2,0.0,,0.0
20260409T070331Z_modular_agent_006_ops_budget_compare_agent_006_ops_budget_compare_clean,agent_006_ops_budget_compare,agent_006_ops_budget_compare_clean,full_stack,modular,mlx,False,,,,,0.0,0.0,2,48,,,1.0,0.0,0.2,1172,1.0,,,59,,0.0,2,0.0,,0.0
20260409T070332Z_modular_agent_007_direct_repo_patch_agent_007_direct_repo_patch_clean,agent_007_direct_repo_patch,agent_007_direct_repo_patch_clean,full_stack,modular,mlx,False,,,,,1.0,0.0,2,25,,,0.0,0.0,0.0,700,1.0,,,52,,0.0,2,0.0,,0.0
20260409T070332Z_modular_agent_008_billing_screenshot_patch_agent_008_billing_screenshot_patch_clean,agent_008_billing_screenshot_patch,agent_008_billing_screenshot_patch_clean,full_stack,modular,mlx,False,,,,,1.0,0.0,2,22,,,0.0,0.0,0.0,608,1.0,,,52,,0.0,2,0.0,,0.0
20260409T070334Z_modular_agent_009_reschedule_vendor_agent_009_reschedule_vendor_clean,agent_009_reschedule_vendor,agent_009_reschedule_vendor_clean,full_stack,modular,mlx,False,,,,,1.0,0.0,2,43,,,0.0,0.0,0.0,1107,1.0,,,61,,0.0,2,0.0,,0.0
20260409T070334Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_clean,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_clean,full_stack,modular,mlx,False,,,,,0.0,0.0,3,21,,,0.0,0.0,0.0,661,1.0,,,73,,0.0,3,0.0,,0.0
20260409T070425Z_monolith_think_001_math_think_001_math_clean,think_001_math,think_001_math_clean,thinking,monolith,hf,False,,,,,1.0,,0,12,,1.0,,0.0,,48607,0.0,,,19,,,0,1.0,,
20260409T070438Z_monolith_think_002_discount_think_002_discount_clean,think_002_discount,think_002_discount_clean,thinking,monolith,hf,False,,,,,0.0,,0,64,,0.0,,0.0,,13519,0.0,,,30,,,0,0.0,,
20260409T070451Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,hf,False,,,,,0.0,,0,60,,0.0,,0.0,,12633,0.0,,,28,,,0,0.0,,
20260409T070503Z_monolith_think_004_code_fix_think_004_code_fix_clean,think_004_code_fix,think_004_code_fix_clean,thinking,monolith,hf,False,,,,,0.0,,0,64,,0.0,,0.0,,11799,0.0,,,25,,,0,0.0,,
20260409T070514Z_monolith_think_005_release_owner_think_005_release_owner_clean,think_005_release_owner,think_005_release_owner_clean,thinking,monolith,hf,False,,,,,0.0,,0,64,,0.0,,0.0,,11575,0.0,,,17,,,0,0.0,,
20260409T070532Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,hf,False,,,,,0.0,,0,64,,0.0,,0.0,,17115,0.0,,,301,,,0,0.0,,
20260409T070546Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,hf,False,,,,,1.0,,0,64,,1.0,,0.0,,14650,0.0,,,298,,,0,1.0,,
20260409T070557Z_monolith_think_008_schedule_choice_think_008_schedule_choice_clean,think_008_schedule_choice,think_008_schedule_choice_clean,thinking,monolith,hf,False,,,,,1.0,,0,64,,1.0,,0.0,,11196,0.0,,,33,,,0,1.0,,
20260409T070602Z_monolith_think_009_budget_summary_think_009_budget_summary_clean,think_009_budget_summary,think_009_budget_summary_clean,thinking,monolith,hf,False,,,,,0.0,,0,23,,0.0,,0.0,,4271,0.0,,,19,,,0,0.0,,
20260409T070612Z_monolith_think_010_repo_reasoning_think_010_repo_reasoning_clean,think_010_repo_reasoning,think_010_repo_reasoning_clean,thinking,monolith,hf,False,,,,,0.0,,0,64,,0.0,,0.0,,10760,0.0,,,30,,,0,0.0,,
20260409T070708Z_monolith_think_001_math_think_001_math_clean,think_001_math,think_001_math_clean,thinking,monolith,hf,True,,,,,1.0,,0,96,,1.0,,0.0,,52163,0.0,,,25,,,0,1.0,,
20260409T070724Z_monolith_think_002_discount_think_002_discount_clean,think_002_discount,think_002_discount_clean,thinking,monolith,hf,True,,,,,0.0,,0,96,,0.0,,0.0,,16101,0.0,,,36,,,0,0.0,,
20260409T070744Z_monolith_think_003_policy_reasoning_think_003_policy_reasoning_clean,think_003_policy_reasoning,think_003_policy_reasoning_clean,thinking,monolith,hf,True,,,,,0.0,,0,96,,0.0,,0.0,,20165,0.0,,,34,,,0,0.0,,
20260409T070800Z_monolith_think_004_code_fix_think_004_code_fix_clean,think_004_code_fix,think_004_code_fix_clean,thinking,monolith,hf,True,,,,,0.0,,0,96,,0.0,,0.0,,15736,0.0,,,31,,,0,0.0,,
20260409T070816Z_monolith_think_005_release_owner_think_005_release_owner_clean,think_005_release_owner,think_005_release_owner_clean,thinking,monolith,hf,True,,,,,0.0,,0,96,,0.0,,0.0,,16315,0.0,,,23,,,0,0.0,,
20260409T070841Z_monolith_think_006_screenshot_security_think_006_screenshot_security_clean,think_006_screenshot_security,think_006_screenshot_security_clean,thinking,monolith,hf,True,,,,,0.0,,0,96,,0.0,,0.0,,24964,0.0,,,307,,,0,0.0,,
20260409T070902Z_monolith_think_007_doc_image_summary_think_007_doc_image_summary_clean,think_007_doc_image_summary,think_007_doc_image_summary_clean,thinking,monolith,hf,True,,,,,1.0,,0,96,,1.0,,0.0,,21341,0.0,,,304,,,0,1.0,,
20260409T070919Z_monolith_think_008_schedule_choice_think_008_schedule_choice_clean,think_008_schedule_choice,think_008_schedule_choice_clean,thinking,monolith,hf,True,,,,,1.0,,0,96,,1.0,,0.0,,16400,0.0,,,39,,,0,1.0,,
20260409T070934Z_monolith_think_009_budget_summary_think_009_budget_summary_clean,think_009_budget_summary,think_009_budget_summary_clean,thinking,monolith,hf,True,,,,,0.0,,0,96,,0.0,,0.0,,15447,0.0,,,25,,,0,0.0,,
20260409T070950Z_monolith_think_010_repo_reasoning_think_010_repo_reasoning_clean,think_010_repo_reasoning,think_010_repo_reasoning_clean,thinking,monolith,hf,True,,,,,0.0,,0,96,,0.0,,0.0,,15761,0.0,,,36,,,0,0.0,,
